Date,Open,High,Low,Close,Adj Close,Volume
2022-07-21,104.580002,106.279999,103.900002,104.559998,102.462227,1062087
2022-07-22,104.120003,107.339996,104.099998,105.580002,103.461769,1246439
2022-07-25,105.500000,106.220001,104.220001,105.839996,103.716545,1094476
2022-07-26,105.400002,106.580002,104.820000,105.000000,102.893402,1044986
2022-07-27,104.900002,106.480003,104.480003,106.160004,104.030128,1240273
2022-07-28,102.400002,103.599998,99.169998,103.040001,100.972725,2494314
2022-07-29,103.800003,105.099998,102.900002,104.879997,102.775810,1996514
2022-08-01,104.360001,105.540001,102.480003,102.480003,100.423958,1329492
2022-08-02,102.019997,103.820000,101.879997,102.739998,100.678741,1133135
2022-08-03,102.720001,104.480003,102.260002,104.099998,102.011459,1087103
2022-08-04,104.300003,104.760002,103.099998,103.839996,101.756668,979524
2022-08-05,104.099998,106.139999,103.879997,104.779999,102.677818,1260729
2022-08-08,106.559998,107.080002,105.519997,106.059998,103.932129,917877
2022-08-09,106.000000,107.199997,105.639999,106.440002,104.304512,974371
2022-08-10,106.000000,107.839996,105.660004,107.519997,105.362839,811908
2022-08-11,107.620003,108.440002,107.080002,107.839996,105.676414,931447
2022-08-12,108.300003,108.779999,107.720001,108.419998,106.244781,882675
2022-08-15,108.800003,108.900002,107.919998,108.800003,106.617165,484039
2022-08-16,109.000000,111.040001,108.959999,110.540001,108.322258,987145
2022-08-17,110.279999,110.440002,108.000000,108.139999,105.970398,904393
2022-08-18,108.180000,109.239998,107.779999,108.660004,106.479980,552084
2022-08-19,107.599998,108.180000,106.180000,106.239998,104.108521,1151233
2022-08-22,105.739998,105.739998,102.660004,103.239998,101.168709,1072688
2022-08-23,102.500000,104.820000,102.199997,102.879997,100.815933,844716
2022-08-24,102.500000,103.440002,102.160004,103.320000,101.247108,651827
2022-08-25,104.199997,104.879997,103.519997,103.900002,101.815475,907831
2022-08-26,104.500000,104.699997,101.660004,101.919998,99.875198,965662
2022-08-29,100.559998,100.839996,99.300003,100.379997,98.366089,1033331
2022-08-30,100.540001,101.959999,100.199997,100.620003,98.601280,856660
2022-08-31,99.800003,100.220001,97.839996,97.889999,95.926048,2184403
2022-09-01,96.959999,97.040001,94.239998,94.970001,93.064636,1509421
